sales_ship_number,sales_product_key,sales_customer_id,sales_order_date,sales_ship_date,sales_due_date,sales,quantity,sales_price
SO48526,BK-R89B-48,13724,2012-06-10,2012-06-17,2012-06-22,2182.0,1,2182.0
SO48527,BK-M68S-38,26617,2012-06-10,2012-06-17,2012-06-22,2071.0,1,2071.0
SO48528,BK-R89B-58,22908,2012-06-10,2012-06-17,2012-06-22,2182.0,1,2182.0
SO48529,BK-M68B-42,26638,2012-06-10,2012-06-17,2012-06-22,2049.0,1,2049.0
SO48530,BK-M68S-38,13104,2012-06-10,2012-06-17,2012-06-22,2071.0,1,2071.0
SO48531,BK-M68B-42,13105,2012-06-10,2012-06-17,2012-06-22,2049.0,1,2049.0
SO48532,BK-M68B-46,13112,2012-06-10,2012-06-17,2012-06-22,2049.0,1,2049.0
SO48533,BK-R50R-48,26560,2012-06-10,2012-06-17,2012-06-22,783.0,1,783.0
SO48534,BK-R89R-58,16448,2012-06-11,2012-06-18,2012-06-23,2182.0,1,2182.0
SO48535,BK-R50B-44,19295,2012-06-11,2012-06-18,2012-06-23,783.0,1,783.0
SO48536,BK-R64Y-44,14256,2012-06-11,2012-06-18,2012-06-23,1000.0,1,1000.0
SO48537,BK-M68B-46,12318,2012-06-11,2012-06-18,2012-06-23,2049.0,1,2049.0
SO48538,BK-R89B-58,22905,2012-06-11,2012-06-18,2012-06-23,2182.0,1,2182.0
SO48539,BK-R89B-52,22921,2012-06-11,2012-06-18,2012-06-23,2182.0,1,2182.0
SO48540,BK-R89B-52,22931,2012-06-11,2012-06-18,2012-06-23,2182.0,1,2182.0
SO48541,BK-R89R-44,22943,2012-06-11,2012-06-18,2012-06-23,2443.0,1,2443.0
SO48542,BK-M68B-42,26676,2012-06-11,2012-06-18,2012-06-23,2049.0,1,2049.0
SO48543,BK-R64Y-44,24918,2012-06-11,2012-06-18,2012-06-23,1000.0,1,1000.0
SO48544,BK-M68S-42,13119,2012-06-11,2012-06-18,2012-06-23,2071.0,1,2071.0
SO48545,BK-M68B-42,12335,2012-06-11,2012-06-18,2012-06-23,2049.0,1,2049.0
SO48546,BK-R89B-52,14960,2012-06-12,2012-06-19,2012-06-24,2182.0,1,2182.0
SO48547,BK-R64Y-42,19029,2012-06-12,2012-06-19,2012-06-24,1000.0,1,1000.0
SO48548,BK-R89R-52,16414,2012-06-12,2012-06-19,2012-06-24,2443.0,1,2443.0
SO48549,BK-R89B-48,14946,2012-06-12,2012-06-19,2012-06-24,2182.0,1,2182.0
SO48550,BK-R50R-44,19315,2012-06-12,2012-06-19,2012-06-24,783.0,1,783.0
SO48551,BK-R50R-52,20833,2012-06-12,2012-06-19,2012-06-24,783.0,1,783.0
SO48552,BK-R64Y-38,14242,2012-06-12,2012-06-19,2012-06-24,1000.0,1,1000.0
SO48553,BK-R89R-52,13716,2012-06-12,2012-06-19,2012-06-24,2443.0,1,2443.0
SO48554,BK-M68B-46,26622,2012-06-12,2012-06-19,2012-06-24,2049.0,1,2049.0
SO48555,BK-R50R-62,15399,2012-06-12,2012-06-19,2012-06-24,783.0,1,783.0
SO48556,BK-R89B-52,22936,2012-06-12,2012-06-19,2012-06-24,2182.0,1,2182.0
SO48557,BK-R89R-52,22958,2012-06-12,2012-06-19,2012-06-24,2443.0,1,2443.0
SO48558,BK-M68B-42,26684,2012-06-12,2012-06-19,2012-06-24,2049.0,1,2049.0
SO48559,BK-M68S-42,13122,2012-06-12,2012-06-19,2012-06-24,2071.0,1,2071.0
SO48560,BK-R50R-44,26561,2012-06-12,2012-06-19,2012-06-24,783.0,1,783.0
SO48561,BK-R50B-48,26562,2012-06-12,2012-06-19,2012-06-24,783.0,1,783.0
SO48562,BK-R89B-48,17085,2012-06-13,2012-06-20,2012-06-25,2182.0,1,2182.0
SO48563,BK-R50B-48,20831,2012-06-13,2012-06-20,2012-06-25,783.0,1,783.0
SO48564,BK-R89B-48,17218,2012-06-13,2012-06-20,2012-06-25,2182.0,1,2182.0
SO48565,BK-M68B-38,26604,2012-06-13,2012-06-20,2012-06-25,2049.0,1,2049.0
SO48566,BK-R89B-48,22906,2012-06-13,2012-06-20,2012-06-25,2182.0,1,2182.0
SO48567,BK-R89B-52,14948,2012-06-14,2012-06-21,2012-06-26,2182.0,1,2182.0
SO48568,BK-R50R-44,19296,2012-06-14,2012-06-21,2012-06-26,783.0,1,783.0
SO48569,BK-R50R-62,20726,2012-06-14,2012-06-21,2012-06-26,783.0,1,783.0
SO48570,BK-R64Y-48,26504,2012-06-14,2012-06-21,2012-06-26,1000.0,1,1000.0
SO48571,BK-R89B-52,13726,2012-06-14,2012-06-21,2012-06-26,2182.0,1,2182.0
SO48572,BK-M68B-46,28756,2012-06-14,2012-06-21,2012-06-26,2049.0,1,2049.0
SO48573,BK-R50R-48,15419,2012-06-14,2012-06-21,2012-06-26,783.0,1,783.0
SO48574,BK-R50R-58,15422,2012-06-14,2012-06-21,2012-06-26,783.0,1,783.0
SO48575,BK-M68B-42,13123,2012-06-14,2012-06-21,2012-06-26,2049.0,1,2049.0
SO48576,BK-M68B-46,13133,2012-06-14,2012-06-21,2012-06-26,2049.0,1,2049.0
SO48577,BK-R50B-60,26571,2012-06-14,2012-06-21,2012-06-26,783.0,1,783.0
SO48578,BK-R89B-52,17207,2012-06-15,2012-06-22,2012-06-27,2182.0,1,2182.0
SO48579,BK-R89B-58,13741,2012-06-15,2012-06-22,2012-06-27,2182.0,1,2182.0
SO48580,BK-M68B-38,12231,2012-06-15,2012-06-22,2012-06-27,2049.0,1,2049.0
SO48581,BK-M68S-38,26632,2012-06-15,2012-06-22,2012-06-27,2071.0,1,2071.0
SO48582,BK-R50B-52,15428,2012-06-15,2012-06-22,2012-06-27,783.0,1,783.0
SO48583,BK-R89B-52,23106,2012-06-15,2012-06-22,2012-06-27,2182.0,1,2182.0
SO48584,BK-R89B-58,22935,2012-06-15,2012-06-22,2012-06-27,2182.0,1,2182.0
SO48585,BK-R64Y-48,24919,2012-06-15,2012-06-22,2012-06-27,1000.0,1,1000.0
SO48586,BK-M68S-42,13113,2012-06-15,2012-06-22,2012-06-27,2071.0,1,2071.0
SO48587,BK-R50R-60,26568,2012-06-15,2012-06-22,2012-06-27,783.0,1,783.0
SO48588,BK-R50B-44,26569,2012-06-15,2012-06-22,2012-06-27,783.0,1,783.0
SO48589,BK-R64Y-44,17646,2012-06-16,2012-06-23,2012-06-28,1000.0,1,1000.0
SO48590,BK-M68S-38,28757,2012-06-16,2012-06-23,2012-06-28,2071.0,1,2071.0
SO48591,BK-M68B-38,28739,2012-06-16,2012-06-23,2012-06-28,2049.0,1,2049.0
SO48592,BK-M68S-42,12266,2012-06-16,2012-06-23,2012-06-28,2071.0,1,2071.0
SO48593,BK-M68B-46,12394,2012-06-16,2012-06-23,2012-06-28,2049.0,1,2049.0
SO48594,BK-M68B-46,26614,2012-06-16,2012-06-23,2012-06-28,2049.0,1,2049.0
SO48595,BK-R89B-48,23097,2012-06-16,2012-06-23,2012-06-28,2182.0,1,2182.0
SO48596,BK-R89B-44,23101,2012-06-16,2012-06-23,2012-06-28,2182.0,1,2182.0
SO48597,BK-M68S-38,26650,2012-06-16,2012-06-23,2012-06-28,2071.0,1,2071.0
SO48598,BK-M68S-38,13106,2012-06-16,2012-06-23,2012-06-28,2071.0,1,2071.0
SO48599,BK-R89B-52,15002,2012-06-17,2012-06-24,2012-06-29,2182.0,1,2182.0
SO48600,BK-R64Y-42,18185,2012-06-17,2012-06-24,2012-06-29,1000.0,1,1000.0
SO48601,BK-M68B-46,28728,2012-06-17,2012-06-24,2012-06-29,2049.0,1,2049.0
SO48602,BK-M68S-38,12237,2012-06-17,2012-06-24,2012-06-29,2071.0,1,2071.0
SO48603,BK-M68S-46,28751,2012-06-17,2012-06-24,2012-06-29,2071.0,1,2071.0
SO48604,BK-M68S-42,26609,2012-06-17,2012-06-24,2012-06-29,2071.0,1,2071.0
SO48605,BK-M68B-38,26616,2012-06-17,2012-06-24,2012-06-29,2049.0,1,2049.0
SO48606,BK-R89R-44,22988,2012-06-17,2012-06-24,2012-06-29,2443.0,1,2443.0
SO48607,BK-R89B-52,22946,2012-06-17,2012-06-24,2012-06-29,2182.0,1,2182.0
SO48608,BK-M68B-38,26644,2012-06-17,2012-06-24,2012-06-29,2049.0,1,2049.0
SO48609,BK-M68S-46,26646,2012-06-17,2012-06-24,2012-06-29,2071.0,1,2071.0
SO48610,BK-M68B-38,13134,2012-06-17,2012-06-24,2012-06-29,2049.0,1,2049.0
SO48611,BK-M68B-42,13518,2012-06-17,2012-06-24,2012-06-29,2049.0,1,2049.0
SO48612,BK-M68S-38,13520,2012-06-17,2012-06-24,2012-06-29,2071.0,1,2071.0
SO48613,BK-R89B-48,14965,2012-06-18,2012-06-25,2012-06-30,2182.0,1,2182.0
SO48614,BK-R89B-48,14976,2012-06-18,2012-06-25,2012-06-30,2182.0,1,2182.0
SO48615,BK-R64Y-40,19360,2012-06-18,2012-06-25,2012-06-30,1000.0,1,1000.0
SO48616,BK-R89B-44,13721,2012-06-18,2012-06-25,2012-06-30,2182.0,1,2182.0
SO48617,BK-R89R-58,13725,2012-06-18,2012-06-25,2012-06-30,2182.0,1,2182.0
SO48618,BK-R50B-58,27259,2012-06-18,2012-06-25,2012-06-30,783.0,1,783.0
SO48619,BK-R89R-48,22934,2012-06-18,2012-06-25,2012-06-30,2443.0,1,2443.0
SO48620,BK-M68B-42,20665,2012-06-18,2012-06-25,2012-06-30,2049.0,1,2049.0
SO48621,BK-M68B-42,13129,2012-06-18,2012-06-25,2012-06-30,2049.0,1,2049.0
SO48622,BK-M68S-46,13156,2012-06-18,2012-06-25,2012-06-30,2071.0,1,2071.0
SO48623,BK-M68S-46,13108,2012-06-18,2012-06-25,2012-06-30,2071.0,1,2071.0
SO48624,BK-M68B-46,13109,2012-06-18,2012-06-25,2012-06-30,2049.0,1,2049.0
SO48625,BK-R50B-62,26547,2012-06-18,2012-06-25,2012-06-30,783.0,1,783.0
SO48626,BK-R50B-60,26570,2012-06-18,2012-06-25,2012-06-30,783.0,1,783.0
SO48627,BK-M68B-46,28758,2012-06-19,2012-06-26,2012-07-01,2049.0,1,2049.0
SO48628,BK-M68S-38,12381,2012-06-19,2012-06-26,2012-07-01,2071.0,1,2071.0
SO48629,BK-R64Y-48,24916,2012-06-19,2012-06-26,2012-07-01,1000.0,1,1000.0
SO48630,BK-M68B-38,26623,2012-06-20,2012-06-27,2012-07-02,2049.0,1,2049.0
SO48631,BK-R89B-48,17185,2012-06-20,2012-06-27,2012-07-02,2182.0,1,2182.0
SO48632,BK-R89B-58,17192,2012-06-20,2012-06-27,2012-07-02,2182.0,1,2182.0
SO48633,BK-R50B-44,20875,2012-06-20,2012-06-27,2012-07-02,783.0,1,783.0
SO48634,BK-M68B-46,12230,2012-06-20,2012-06-27,2012-07-02,2049.0,1,2049.0
SO48635,BK-M68B-38,28750,2012-06-20,2012-06-27,2012-07-02,2049.0,1,2049.0
SO48636,BK-R50R-62,15429,2012-06-20,2012-06-27,2012-07-02,783.0,1,783.0
SO48637,BK-R50B-62,15474,2012-06-20,2012-06-27,2012-07-02,783.0,1,783.0
SO48638,BK-R50B-60,15475,2012-06-20,2012-06-27,2012-07-02,783.0,1,783.0
SO48639,BK-M68B-38,20670,2012-06-20,2012-06-27,2012-07-02,2049.0,1,2049.0
SO48640,BK-M68S-46,26681,2012-06-20,2012-06-27,2012-07-02,2071.0,1,2071.0
SO48641,BK-M68S-42,13524,2012-06-20,2012-06-27,2012-07-02,2071.0,1,2071.0
SO48642,BK-R89R-58,15061,2012-06-21,2012-06-28,2012-07-03,2182.0,1,2182.0
SO48643,BK-R50B-52,20869,2012-06-21,2012-06-28,2012-07-03,783.0,1,783.0
SO48644,BK-R64Y-44,14270,2012-06-21,2012-06-28,2012-07-03,1000.0,1,1000.0
SO48645,BK-R64Y-44,14283,2012-06-21,2012-06-28,2012-07-03,1000.0,1,1000.0
SO48646,BK-R89R-52,13722,2012-06-21,2012-06-28,2012-07-03,2443.0,1,2443.0
SO48647,BK-M68S-42,26625,2012-06-21,2012-06-28,2012-07-03,2071.0,1,2071.0
SO48648,BK-M68S-42,26610,2012-06-21,2012-06-28,2012-07-03,2071.0,1,2071.0
SO48649,BK-R50B-44,15432,2012-06-21,2012-06-28,2012-07-03,783.0,1,783.0
SO48650,BK-R89B-44,22986,2012-06-21,2012-06-28,2012-07-03,2182.0,1,2182.0
SO48651,BK-R89B-52,22926,2012-06-21,2012-06-28,2012-07-03,2182.0,1,2182.0
SO48652,BK-R89R-44,22951,2012-06-21,2012-06-28,2012-07-03,2443.0,1,2443.0
SO48653,BK-M68B-42,20680,2012-06-21,2012-06-28,2012-07-03,2049.0,1,2049.0
SO48654,BK-R89B-48,17094,2012-06-22,2012-06-29,2012-07-04,2182.0,1,2182.0
SO48655,BK-R64Y-42,18183,2012-06-22,2012-06-29,2012-07-04,1000.0,1,1000.0
SO48656,BK-R50B-62,20829,2012-06-22,2012-06-29,2012-07-04,783.0,1,783.0
SO48657,BK-R89B-44,15067,2012-06-22,2012-06-29,2012-07-04,2182.0,1,2182.0
SO48658,BK-M68S-38,12228,2012-06-22,2012-06-29,2012-07-04,2071.0,1,2071.0
SO48659,BK-M68B-46,28749,2012-06-22,2012-06-29,2012-07-04,2049.0,1,2049.0
SO48660,BK-M68S-46,26607,2012-06-22,2012-06-29,2012-07-04,2071.0,1,2071.0
SO48661,BK-R50B-58,15467,2012-06-22,2012-06-29,2012-07-04,783.0,1,783.0
SO48662,BK-R89R-48,22938,2012-06-22,2012-06-29,2012-07-04,2443.0,1,2443.0
SO48663,BK-M68B-46,13118,2012-06-22,2012-06-29,2012-07-04,2049.0,1,2049.0
SO48664,BK-M68S-42,13521,2012-06-22,2012-06-29,2012-07-04,2071.0,1,2071.0
SO48665,BK-R50B-60,20872,2012-06-22,2012-06-29,2012-07-04,783.0,1,783.0
SO48666,BK-M68B-42,13090,2012-06-22,2012-06-29,2012-07-04,2049.0,1,2049.0
SO48667,BK-R64Y-48,19341,2012-06-23,2012-06-30,2012-07-05,1000.0,1,1000.0
SO48668,BK-R64Y-48,18626,2012-06-23,2012-06-30,2012-07-05,1000.0,1,1000.0
SO48669,BK-R50R-48,19293,2012-06-23,2012-06-30,2012-07-05,783.0,1,783.0
SO48670,BK-R89B-52,13715,2012-06-23,2012-06-30,2012-07-05,2182.0,1,2182.0
SO48671,BK-M68B-42,12270,2012-06-23,2012-06-30,2012-07-05,2049.0,1,2049.0
SO48672,BK-R89B-58,22950,2012-06-23,2012-06-30,2012-07-05,2182.0,1,2182.0
SO48673,BK-M68B-42,13131,2012-06-23,2012-06-30,2012-07-05,2049.0,1,2049.0
SO48674,BK-R50B-60,26548,2012-06-23,2012-06-30,2012-07-05,783.0,1,783.0
SO48675,BK-R89B-58,15079,2012-06-24,2012-07-01,2012-07-06,2182.0,1,2182.0
SO48676,BK-R89R-52,13729,2012-06-24,2012-07-01,2012-07-06,2443.0,1,2443.0
SO48677,BK-M68B-38,12391,2012-06-24,2012-07-01,2012-07-06,2049.0,1,2049.0
SO48678,BK-M68B-46,26627,2012-06-24,2012-07-01,2012-07-06,2049.0,1,2049.0
SO48679,BK-M68S-38,26608,2012-06-24,2012-07-01,2012-07-06,2071.0,1,2071.0
SO48680,BK-R50B-48,27242,2012-06-24,2012-07-01,2012-07-06,783.0,1,783.0
SO48681,BK-M68S-38,13160,2012-06-24,2012-07-01,2012-07-06,2071.0,1,2071.0
SO48682,BK-M68S-42,13091,2012-06-24,2012-07-01,2012-07-06,2071.0,1,2071.0
SO48683,BK-R64Y-42,17648,2012-06-25,2012-07-02,2012-07-07,1000.0,1,1000.0
SO48684,BK-R89B-58,16534,2012-06-25,2012-07-02,2012-07-07,2182.0,1,2182.0
SO48685,BK-R89R-48,13728,2012-06-25,2012-07-02,2012-07-07,2443.0,1,2443.0
SO48686,BK-R89R-58,25999,2012-06-25,2012-07-02,2012-07-07,2182.0,1,2182.0
SO48687,BK-M68S-38,12317,2012-06-25,2012-07-02,2012-07-07,2071.0,1,2071.0
SO48688,BK-R89B-44,22966,2012-06-25,2012-07-02,2012-07-07,2182.0,1,2182.0
SO48689,BK-R64Y-42,24914,2012-06-25,2012-07-02,2012-07-07,1000.0,1,1000.0
SO48690,BK-M68B-42,13130,2012-06-25,2012-07-02,2012-07-07,2049.0,1,2049.0
SO48691,BK-R50B-44,26549,2012-06-25,2012-07-02,2012-07-07,783.0,1,783.0
SO48692,BK-R64Y-38,18171,2012-06-26,2012-07-03,2012-07-08,1000.0,1,1000.0
SO48693,BK-R89R-52,25995,2012-06-26,2012-07-03,2012-07-08,2443.0,1,2443.0
SO48694,BK-M68B-46,12315,2012-06-26,2012-07-03,2012-07-08,2049.0,1,2049.0
SO48695,BK-M68B-46,26624,2012-06-26,2012-07-03,2012-07-08,2049.0,1,2049.0
SO48696,BK-R89R-44,23100,2012-06-26,2012-07-03,2012-07-08,2443.0,1,2443.0
SO48697,BK-R89R-58,22933,2012-06-26,2012-07-03,2012-07-08,2182.0,1,2182.0
SO48698,BK-M68B-46,26647,2012-06-26,2012-07-03,2012-07-08,2049.0,1,2049.0
SO48699,BK-M68B-46,13115,2012-06-26,2012-07-03,2012-07-08,2049.0,1,2049.0
SO48700,BK-M68B-42,13519,2012-06-26,2012-07-03,2012-07-08,2049.0,1,2049.0
SO48701,BK-M68B-42,13103,2012-06-26,2012-07-03,2012-07-08,2049.0,1,2049.0
SO48702,BK-R89B-52,17115,2012-06-27,2012-07-04,2012-07-09,2182.0,1,2182.0
SO48703,BK-R89R-48,15004,2012-06-27,2012-07-04,2012-07-09,2443.0,1,2443.0
SO48704,BK-R89R-48,16429,2012-06-27,2012-07-04,2012-07-09,2443.0,1,2443.0
SO48705,BK-R89B-44,14995,2012-06-27,2012-07-04,2012-07-09,2182.0,1,2182.0
SO48706,BK-R64Y-44,19359,2012-06-27,2012-07-04,2012-07-09,1000.0,1,1000.0
SO48707,BK-R50R-44,19313,2012-06-27,2012-07-04,2012-07-09,783.0,1,783.0
SO48708,BK-R89B-52,16466,2012-06-27,2012-07-04,2012-07-09,2182.0,1,2182.0
SO48709,BK-R64Y-38,14268,2012-06-27,2012-07-04,2012-07-09,1000.0,1,1000.0
SO48710,BK-M68S-42,12305,2012-06-27,2012-07-04,2012-07-09,2071.0,1,2071.0
SO48711,BK-R50R-44,15410,2012-06-27,2012-07-04,2012-07-09,783.0,1,783.0
SO48712,BK-R50B-44,27252,2012-06-27,2012-07-04,2012-07-09,783.0,1,783.0
SO48713,BK-R50B-60,27253,2012-06-27,2012-07-04,2012-07-09,783.0,1,783.0
SO48714,BK-R89B-52,23104,2012-06-27,2012-07-04,2012-07-09,2182.0,1,2182.0
SO48715,BK-R89B-48,23107,2012-06-27,2012-07-04,2012-07-09,2182.0,1,2182.0
SO48716,BK-R89B-52,17626,2012-06-28,2012-07-05,2012-07-10,2182.0,1,2182.0
SO48717,BK-M68S-38,28736,2012-06-28,2012-07-05,2012-07-10,2071.0,1,2071.0
SO48718,BK-M68S-46,12382,2012-06-28,2012-07-05,2012-07-10,2071.0,1,2071.0
SO48719,BK-R89R-44,23099,2012-06-28,2012-07-05,2012-07-10,2443.0,1,2443.0
SO48720,BK-R89R-58,22910,2012-06-28,2012-07-05,2012-07-10,2182.0,1,2182.0
SO48721,BK-R89R-44,22930,2012-06-28,2012-07-05,2012-07-10,2443.0,1,2443.0
SO48722,BK-R89R-48,22937,2012-06-28,2012-07-05,2012-07-10,2443.0,1,2443.0
SO48723,BK-R89R-48,14944,2012-06-29,2012-07-06,2012-07-11,2443.0,1,2443.0
SO48724,BK-R50B-48,20722,2012-06-29,2012-07-06,2012-07-11,783.0,1,783.0
SO48725,BK-R89B-52,17202,2012-06-29,2012-07-06,2012-07-11,2182.0,1,2182.0
SO48726,BK-R64Y-40,24915,2012-06-29,2012-07-06,2012-07-11,1000.0,1,1000.0
SO48727,BK-M68B-42,13128,2012-06-29,2012-07-06,2012-07-11,2049.0,1,2049.0
SO48728,BK-M68S-42,13111,2012-06-29,2012-07-06,2012-07-11,2071.0,1,2071.0
SO48729,BK-R50R-62,26563,2012-06-29,2012-07-06,2012-07-11,783.0,1,783.0
SO48795,BK-R89B-48,16538,2012-06-30,2012-07-07,2012-07-12,2182.0,1,2182.0
SO48796,BK-R89B-48,15094,2012-06-30,2012-07-07,2012-07-12,2182.0,1,2182.0
SO48797,BK-R64Y-42,14335,2012-06-30,2012-07-07,2012-07-12,1000.0,1,1000.0
SO48798,BK-R89R-48,23332,2012-06-30,2012-07-07,2012-07-12,2443.0,1,2443.0
SO48799,BK-M68S-38,26708,2012-06-30,2012-07-07,2012-07-12,2071.0,1,2071.0
SO48800,BK-R50B-52,15491,2012-06-30,2012-07-07,2012-07-12,783.0,1,783.0
SO48801,BK-R50R-44,15493,2012-06-30,2012-07-07,2012-07-12,783.0,1,783.0
SO48802,BK-R64Y-40,24923,2012-06-30,2012-07-07,2012-07-12,1000.0,1,1000.0
SO48803,BK-R64Y-40,19416,2012-07-01,2012-07-08,2012-07-13,1000.0,1,1000.0
SO48804,BK-M68S-46,12276,2012-07-01,2012-07-08,2012-07-13,2071.0,1,2071.0
SO48805,BK-R50R-52,19318,2012-07-01,2012-07-08,2012-07-13,783.0,1,783.0
SO48806,BK-R50B-48,20885,2012-07-01,2012-07-08,2012-07-13,783.0,1,783.0
SO48807,BK-R50R-62,20892,2012-07-01,2012-07-08,2012-07-13,783.0,1,783.0
SO48808,BK-R89R-44,16552,2012-07-01,2012-07-08,2012-07-13,2443.0,1,2443.0
SO48809,BK-R89R-48,23411,2012-07-01,2012-07-08,2012-07-13,2443.0,1,2443.0
SO48810,BK-R89R-48,23415,2012-07-01,2012-07-08,2012-07-13,2443.0,1,2443.0
SO48811,BK-R50B-60,15517,2012-07-01,2012-07-08,2012-07-13,783.0,1,783.0
SO48812,BK-M68S-46,13630,2012-07-01,2012-07-08,2012-07-13,2071.0,1,2071.0
SO48813,BK-M68B-46,13631,2012-07-01,2012-07-08,2012-07-13,2049.0,1,2049.0
SO48814,BK-M68B-42,13647,2012-07-01,2012-07-08,2012-07-13,2049.0,1,2049.0
SO48815,BK-R89B-52,17700,2012-07-02,2012-07-09,2012-07-14,2182.0,1,2182.0
SO48816,BK-M68S-46,12459,2012-07-02,2012-07-09,2012-07-14,2071.0,1,2071.0
SO48817,BK-R89B-44,26049,2012-07-02,2012-07-09,2012-07-14,2182.0,1,2182.0
SO48818,BK-R50B-58,15497,2012-07-02,2012-07-09,2012-07-14,783.0,1,783.0
SO48819,BK-M68S-38,13622,2012-07-02,2012-07-09,2012-07-14,2071.0,1,2071.0
SO48820,BK-M68B-38,13958,2012-07-02,2012-07-09,2012-07-14,2049.0,1,2049.0
SO48821,BK-R89B-58,23344,2012-07-02,2012-07-09,2012-07-14,2182.0,1,2182.0
SO48822,BK-R89B-58,17743,2012-07-03,2012-07-10,2012-07-15,2182.0,1,2182.0
SO48823,BK-R89R-48,16821,2012-07-03,2012-07-10,2012-07-15,2443.0,1,2443.0
SO48824,BK-R89R-48,23408,2012-07-03,2012-07-10,2012-07-15,2443.0,1,2443.0
SO48825,BK-R89B-44,23414,2012-07-03,2012-07-10,2012-07-15,2182.0,1,2182.0
SO48826,BK-R89R-48,23421,2012-07-03,2012-07-10,2012-07-15,2443.0,1,2443.0
SO48827,BK-M68B-42,26729,2012-07-03,2012-07-10,2012-07-15,2049.0,1,2049.0
SO48828,BK-R89R-48,23120,2012-07-03,2012-07-10,2012-07-15,2443.0,1,2443.0
SO48829,BK-R89R-44,23121,2012-07-03,2012-07-10,2012-07-15,2443.0,1,2443.0
SO48830,BK-R89R-58,17750,2012-07-04,2012-07-11,2012-07-16,2182.0,1,2182.0
SO48831,BK-R50R-44,20886,2012-07-04,2012-07-11,2012-07-16,783.0,1,783.0
SO48832,BK-R89B-44,23418,2012-07-04,2012-07-11,2012-07-16,2182.0,1,2182.0
SO48833,BK-R89B-44,23118,2012-07-04,2012-07-11,2012-07-16,2182.0,1,2182.0
SO48834,BK-M68S-38,26695,2012-07-04,2012-07-11,2012-07-16,2071.0,1,2071.0
SO48835,BK-M68B-42,21148,2012-07-04,2012-07-11,2012-07-16,2049.0,1,2049.0
SO48836,BK-M68B-42,13959,2012-07-04,2012-07-11,2012-07-16,2049.0,1,2049.0
SO48837,BK-R89R-58,23311,2012-07-05,2012-07-12,2012-07-17,2182.0,1,2182.0
SO48838,BK-R89B-44,23409,2012-07-05,2012-07-12,2012-07-17,2182.0,1,2182.0
SO48839,BK-R89R-44,16567,2012-07-06,2012-07-13,2012-07-18,2443.0,1,2443.0
SO48840,BK-R89R-48,17753,2012-07-06,2012-07-13,2012-07-18,2443.0,1,2443.0
SO48841,BK-R64Y-38,17716,2012-07-06,2012-07-13,2012-07-18,1000.0,1,1000.0
SO48842,BK-M68S-38,12463,2012-07-06,2012-07-13,2012-07-18,2071.0,1,2071.0
SO48843,BK-R50R-62,15489,2012-07-06,2012-07-13,2012-07-18,783.0,1,783.0
SO48844,BK-R50B-44,15492,2012-07-06,2012-07-13,2012-07-18,783.0,1,783.0
SO48845,BK-M68B-46,13620,2012-07-06,2012-07-13,2012-07-18,2049.0,1,2049.0
SO48846,BK-M68B-42,13651,2012-07-06,2012-07-13,2012-07-18,2049.0,1,2049.0
SO48847,BK-R64Y-40,14336,2012-07-06,2012-07-13,2012-07-18,1000.0,1,1000.0
SO48848,BK-R64Y-40,19424,2012-07-07,2012-07-14,2012-07-19,1000.0,1,1000.0
SO48849,BK-M68B-42,28904,2012-07-07,2012-07-14,2012-07-19,2049.0,1,2049.0
SO48850,BK-M68S-38,29361,2012-07-07,2012-07-14,2012-07-19,2071.0,1,2071.0
SO48851,BK-M68S-42,26717,2012-07-07,2012-07-14,2012-07-19,2071.0,1,2071.0
SO48852,BK-R50R-62,15503,2012-07-07,2012-07-14,2012-07-19,783.0,1,783.0
SO48853,BK-R50B-62,15520,2012-07-07,2012-07-14,2012-07-19,783.0,1,783.0
SO48854,BK-M68S-42,13643,2012-07-07,2012-07-14,2012-07-19,2071.0,1,2071.0
SO48855,BK-M68S-42,13955,2012-07-07,2012-07-14,2012-07-19,2071.0,1,2071.0
SO48856,BK-M68B-38,13967,2012-07-07,2012-07-14,2012-07-19,2049.0,1,2049.0
SO48857,BK-R50B-52,26652,2012-07-07,2012-07-14,2012-07-19,783.0,1,783.0
SO48858,BK-R89R-44,15455,2012-07-08,2012-07-15,2012-07-20,2443.0,1,2443.0
SO48859,BK-R89B-44,16603,2012-07-08,2012-07-15,2012-07-20,2182.0,1,2182.0
SO48860,BK-R89B-48,13849,2012-07-08,2012-07-15,2012-07-20,2182.0,1,2182.0
SO48861,BK-M68S-38,26786,2012-07-08,2012-07-15,2012-07-20,2071.0,1,2071.0
SO48862,BK-M68S-38,26805,2012-07-08,2012-07-15,2012-07-20,2071.0,1,2071.0
SO48863,BK-M68S-38,26718,2012-07-08,2012-07-15,2012-07-20,2071.0,1,2071.0
SO48864,BK-M68S-46,13964,2012-07-08,2012-07-15,2012-07-20,2071.0,1,2071.0
SO48865,BK-R64Y-38,24924,2012-07-08,2012-07-15,2012-07-20,1000.0,1,1000.0
SO48866,BK-M68B-46,13527,2012-07-08,2012-07-15,2012-07-20,2049.0,1,2049.0
SO48867,BK-R89B-44,15451,2012-07-09,2012-07-16,2012-07-21,2182.0,1,2182.0
SO48868,BK-R50B-44,19320,2012-07-09,2012-07-16,2012-07-21,783.0,1,783.0
SO48869,BK-R89R-58,23314,2012-07-09,2012-07-16,2012-07-21,2182.0,1,2182.0
SO48870,BK-R89R-58,23316,2012-07-09,2012-07-16,2012-07-21,2182.0,1,2182.0
